,funding type,Categories,CB Rank (Company),Estimated Revenue Range,Operating Status,Number of Employees,Funding Status,Total Funding Amount Currency (in USD),fund_date
263,None,"Machine Learning, Manufacturing, Robotics","153,422",Less than $1M,Active,11-50,,,2001
264,None,"Artificial Intelligence, Cyber Security, Information Technology, Robotics, Security, Staffing Agency","153,621",$1M to $10M,Active,11-50,,,2011
265,None,"Artificial Intelligence, Content, Corporate Training, Drones, EdTech, Education, Event Management, Events, Innovation Management, Machine Learning, Robotics, STEM Education, Training","153,874",,Active,11-50,,,2001
266,Seed,"EdTech, Education, Hardware, Health Care, Machine Learning, Robotics, Software, Speech Recognition, UX Design","153,270",,Active,,Seed,,2016
267,None,"Aerospace, Artificial Intelligence, Drones, Information Technology, Robotics, Video","145,998",$1M to $10M,Active,11-50,,,2015
268,None,"Human Resources, Information Technology, Machine Learning, Robotics, Small and Medium Businesses, Software","152,311",$1M to $10M,Active,11-50,,,2010
269,None,"Artificial Intelligence, Big Data, Internet of Things, Machine Learning, Real Time","145,083",,Active,11-50,,,2016
270,None,"3D Printing, Aerospace, Artificial Intelligence, Cyber Security, Energy, Machine Learning, Medical, Nanotechnology, Quantum Computing, Sensor","160,282",,Active,10001+,,,1976
271,None,"Artificial Intelligence, Beauty, Big Data, Cosmetics, Machine Learning","158,274",,Active,1-10,,,2017
272,None,"Big Data, Information Technology, Machine Learning, Robotics, Software","162,858",,Active,1-10,,,2016
273,None,"Apps, Blockchain, Information Technology, Machine Learning, Mobile Apps","149,299",,Active,11-50,,,2010
274,None,"Advertising, E-Commerce, Internet, Robotics, Telecommunications","155,828",,Active,1-10,,,2019
275,None,"Computer Vision, Machine Learning, Robotics, Software","158,631",,Active,1-10,,,None
276,None,"Artificial Intelligence, Machine Learning, Robotics, Software","167,887",,Active,,,,None
277,Seed,"Artificial Intelligence, Computer Vision, Information Technology, Machine Learning, Robotics, Software","165,747",,Active,1-10,M&A,,2013
278,Seed,"Artificial Intelligence, Machine Learning, Robotics","172,011",,Active,,Seed,,2017
279,None,"Cloud Computing, Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Machine Learning, SaaS, Simulation, Software","171,107",,Active,,,,2017
280,Seed,"Artificial Intelligence, Computer Vision, Internet of Things, Machine Learning, Robotics, Sensor, Software","174,612",,Closed,1-10,Seed,,2015
281,None,"Amusement Park and Arcade, Artificial Intelligence, Machine Learning, Robotics","165,188",,Active,,,,—
282,None,"Analytics, Artificial Intelligence, Information Technology, Internet, Machine Learning, Retail, Robotics, Small and Medium Businesses, Software","173,130",,Active,1-10,,,2018
283,None,"Artificial Intelligence, Computer Vision, Manufacturing, Robotics","177,135",Less than $1M,Active,1-10,,,2015
284,Seed,"Aerospace, Robotics","174,617",,Active,1-10,Seed,,2018
285,Non-equity Assistance,"Big Data, Information Technology, Machine Learning, Robotics, Wearables","165,252",,Active,1-10,,,2017
286,None,"Artificial Intelligence, Asset Management, Business Intelligence, Fleet Management, Industrial, Industrial Automation, Industrial Design, Industrial Engineering, Industrial Manufacturing, Intelligent Systems, Machine Learning, Machinery Manufacturing, Manufacturing, Predictive Analytics, Product Design, Robotics","171,235",,Active,1-10,,,2014
287,None,"Artificial Intelligence, Blockchain, Robotics, Telecommunications, Unified Communications, VoIP","168,481",,Active,51-100,,,1999
288,None,"Artificial Intelligence, Intelligent Systems, Machine Learning, Manufacturing, Robotics","171,484",,Active,,,,2016
289,None,"Consulting, Consumer Lending, Finance, Information Technology, Lending, PaaS, Payments, SaaS","208,864",,Active,11-50,,,2018
290,Series A,"Artificial Intelligence, Machine Learning, Robotics","178,396",,Active,,Early Stage Venture,,2016
291,Non-equity Assistance,"Big Data, Enterprise Software, Information Technology, Machine Learning, Mobile, Robotics, SaaS, Small and Medium Businesses","177,232",,Active,1-10,,,2016
292,None,"Apps, Artificial Intelligence, Internet of Things, Machine Learning, Mobile, Natural Language Processing, Robotics","187,712",$1M to $10M,Active,11-50,,,2016
293,None,"Artificial Intelligence, Electronics, Embedded Systems, Information Technology, Machine Learning","177,206",$1M to $10M,Active,1-10,,,2013
294,None,"Artificial Intelligence, Big Data, Natural Language Processing","179,590",,Active,1-10,,,2017
295,None,"Artificial Intelligence, Blockchain, Computer Vision, Drones, Financial Exchanges, FinTech, Internet of Things, Machine Learning, Software","171,617",$1M to $10M,Active,1-10,,,2009
296,None,"Analytics, Financial Services, FinTech, Machine Learning, Robotics","179,297",,Active,,,,2014
297,None,"CRM, Information Technology, Machine Learning, Robotics","182,235",Less than $1M,Active,101-250,,,None
298,None,"Artificial Intelligence, Computer Vision, Internet of Things, Machine Learning, Predictive Analytics, Robotics","181,404",,Active,11-50,,,2017
299,None,"Food Delivery, Machine Learning, Robotics","185,060",$1M to $10M,Active,,,,2006
300,None,"Artificial Intelligence, Business Intelligence, Consulting, Information Technology, Machine Learning, Robotics, Software","184,984",,Active,11-50,,,2018
301,None,"Artificial Intelligence, Industrial Automation, Industrial Manufacturing, Machine Learning, Manufacturing, Robotics","192,124",,Active,1-10,,,2011
302,None,"Computer Vision, Machine Learning, Robotics, Software","178,432",,Active,11-50,,,2015
303,None,"Industrial Engineering, Mechanical Engineering, Robotics","187,972",Less than $1M,Active,1-10,,,2014
304,None,"Big Data, Education, Information Technology, Internet, Machine Learning, Robotics, Software","180,625",,Active,1-10,,,2012
305,None,"AgTech, Blockchain, Environmental Engineering, Golf, Hospitality, Humanitarian, Internet of Things, Machine Learning, Retail, Robotics","182,496",,Active,101-250,,,2018
306,Angel,"Artificial Intelligence, Robotics","189,047",,Active,1-10,Seed,,2015
307,None,"Health Care, Machine Learning, Robotics","188,931",,Active,1-10,,,2018
308,None,"Accounting, Enterprise Software, Machine Learning, Robotics, SaaS","194,930",,Active,1-10,,,2014
309,None,"3D Printing, Artificial Intelligence, Big Data, Blockchain, Industrial Automation, Industrial Manufacturing, Internet of Things, Machine Learning","185,151",,Active,1-10,,,2017
310,None,"Analytics, Big Data, Machine Learning, Robotics, Software","170,959",,Active,11-50,,,1989
311,None,"Artificial Intelligence, Information Technology, Machine Learning, Robotics, Software","190,755",,Active,,,,2017
312,None,"Machine Learning, Manufacturing, Robotics","196,680",$1B to $10B,Active,,,,1928
313,None,"Artificial Intelligence, Machine Learning, Natural Language Processing, Robotics","201,788",,Active,1-10,,,2018
314,None,"Analytics, Big Data, Biotechnology, Health Care, Information Technology, Machine Learning, Robotics","206,377",,Active,1-10,,,2017
315,Venture - Series Unknown,"Artificial Intelligence, Cloud Data Services, Commercial Real Estate, Computer, Cyber Security, Data Visualization, Internet of Things, Machine Learning, Predictive Analytics, Robotics","187,188",,Active,1-10,,,2014
316,None,"Embedded Software, Embedded Systems, Hardware, Internet of Things, Outsourcing, Robotics, Service Industry, Software Engineering","201,318",,Active,11-50,,,2013
317,None,"Industrial, Machine Learning, Robotics","201,666",Less than $1M,Active,,,,None
318,None,"Artificial Intelligence, Information Technology, Machine Learning, Robotics","199,341",,Active,1-10,,,2018
319,None,"Big Data, Information Technology, Machine Learning, Robotics, Software","197,438",$10M to $50M,Active,,,,None
320,None,"Industrial, Machine Learning, Robotics","214,920",Less than $1M,Active,1-10,,,2015
321,None,"Artificial Intelligence, Computer Vision, Consumer Electronics, Drones, Information Technology, Machine Learning, Robotics, Software","208,667",,Active,1-10,,,2015
322,None,"Artificial Intelligence, Computer, Information Technology, Robotics, Software","212,177",,Active,1-10,,,2016
323,None,"Artificial Intelligence, Automotive, Machine Learning, Manufacturing, Robotics, Software","213,679",$1M to $10M,Active,1-10,,,2014
324,None,"Analytics, CRM, FinTech, Information Technology, Robotics","196,142",,Active,1-10,,,2011
325,None,"Machine Learning, Machinery Manufacturing, Robotics","199,523",Less than $1M,Active,1-10,,,2010
326,None,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Consulting, Data Visualization, Machine Learning, Predictive Analytics","200,645",,Active,,,,2018
327,None,"Information Services, Information Technology, Machine Learning, Robotics","208,092",Less than $1M,Active,11-50,,,2014
328,None,"Artificial Intelligence, Cloud Data Services, Industrial Automation, Machine Learning, Machinery Manufacturing, Robotics, SaaS, Software","197,075",Less than $1M,Active,1-10,,,2017
329,None,"Advertising, Consulting, Information Technology, Internet of Things, Mobile Apps, Publishing, Robotics","215,150",,Active,1-10,,,2015
